id, 1hr, 2hr, 3hr, 4hr, 6hr, 7hr, 8hr, 9hr,10hr
S0_M_T1305,6.4496,5.5896,5.4088,4.9055,4.2224,4.1112,3.2224,3.2224,3.2224
S0_M_T1306,6.7261,5.8578,5.722,5.24,4.6818,4.3226,3.2224,3.2224,3.2224
S0_M_T1309,7.2561,6.5723,6.0923,5.8414,5.1293,5.3549,3.7298,3.2224,3.2224
S0_M_T1313,6.209,5.5225,4.7567,4.2889,4.2224,3.4483,3.2224,3.2224,3.2224
S0_M_T1314,7.3775,6.5388,6.2713,5.9669,5.3099,5.2206,3.8673,3.2224,3.2224
S0_M_T137,8.7754,8.3186,7.7653,7.5215,6.9229,7.0128,6.0225,5.1512,4.7925
S0_M_T138,5.8795,5.1751,4.4519,4.1893,3.5443,3.6707,3.2224,3.2224,3.2224
S0_M_T140,9.1483,8.5211,8.1653,7.5817,6.2668,6.1668,5.2658,4.7643,4.8596
S0_M_T142,8.7754,8.3186,7.7653,7.5215,6.9229,7.0128,6.0225,5.1512,4.7925
S0_M_T145,9.1483,8.5211,8.1653,7.5817,6.2668,6.1668,5.2658,4.7643,4.8596
